		t	year	month	day	hour	Te	RHe_water	ws	wd	Rglob	Rdif	Rbeam	precip
       1    2050       1       1       0    -2.5    92.6    3.00    38.2     0.0     0.0     0.0    0.00
       2    2050       1       1       1    -2.5    91.3    3.40    71.4     0.0     0.0     0.0    0.00
       3    2050       1       1       2    -2.6    90.0    3.71    71.3     0.0     0.0     0.0    0.00
       4    2050       1       1       3    -2.7    88.4    4.41    71.1     0.0     0.0     0.0    0.00
       5    2050       1       1       4    -2.9    86.9    5.02    38.9     0.0     0.0     0.0    0.00
       6    2050       1       1       5    -3.0    85.3    5.73    39.1     0.0     0.0     0.0    0.00
       7    2050       1       1       6    -4.2    88.3    5.02    38.9     0.0     0.0     0.0    0.00
       8    2050       1       1       7    -5.4    91.3    4.44    28.1     0.0     0.0     0.0    0.00
       9    2050       1       1       8    -6.7    93.7    3.73    27.7     0.0     0.0     0.0    0.00
      10    2050       1       1       9    -7.2    93.3    3.73    27.7     0.0     0.0     0.0    0.00
      11    2050       1       1      10    -7.6    92.8    3.71    38.5     8.4     8.4     0.0    0.00
      12    2050       1       1      11    -8.1    92.4    3.71    38.5    40.1    40.1     0.0    0.00
      13    2050       1       1      12    -7.9    92.6    3.41    38.4    79.8    26.2   512.4    0.00
      14    2050       1       1      13    -7.7    92.8    3.06    16.2    96.3    29.7   635.8    0.00
      15    2050       1       1      14    -7.5    93.0    2.76    15.8    76.3    76.3     0.0    0.00
      16    2050       1       1      15    -8.2    92.3    2.76    15.8    37.0    37.0     0.0    0.00
      17    2050       1       1      16    -9.0    91.7    2.76    15.8     8.9     8.9     0.0    0.00
      18    2050       1       1      17    -9.7    91.0    2.76    15.8     0.0     0.0     0.0    0.00
      19    2050       1       1      18   -10.1    90.6    2.76    15.8     0.0     0.0     0.0    0.00
      20    2050       1       1      19   -10.6    90.2    2.72    26.8     0.0     0.0     0.0    0.00
      21    2050       1       1      20   -11.0    89.9    2.72    26.8     0.0     0.0     0.0    0.00
      22    2050       1       1      21   -11.1    89.8    2.72    26.8     0.0     0.0     0.0    0.00
      23    2050       1       1      22   -11.1    89.8    2.72    26.8     0.0     0.0     0.0    0.00
      24    2050       1       1      23   -11.2    89.7    2.72    26.8     0.0     0.0     0.0    0.00
      25    2050       1       2       0   -11.5    89.4    2.72    26.8     0.0     0.0     0.0    0.00
      26    2050       1       2       1   -11.8    89.1    2.76    15.8     0.0     0.0     0.0    0.00
      27    2050       1       2       2   -12.2    88.9    2.76    15.8     0.0     0.0     0.0    0.00
      28    2050       1       2       3   -12.3    88.7    2.76    15.8     0.0     0.0     0.0    0.00
      29    2050       1       2       4   -12.6    88.5    2.70    38.0     0.0     0.0     0.0    0.00
      30    2050       1       2       5   -12.7    88.4    2.70    38.0     0.0     0.0     0.0    0.00
      31    2050       1       2       6   -13.1    88.1    2.40    37.7     0.0     0.0     0.0    0.00
      32    2050       1       2       7   -13.4    87.8    2.05    14.4     0.0     0.0     0.0    0.00
      33    2050       1       2       8   -13.7    87.5    1.75    13.4     0.0     0.0     0.0    0.00
      34    2050       1       2       9   -14.1    87.2    1.45    12.1     0.0     0.0     0.0    0.00
      35    2050       1       2      10   -14.3    87.0    1.10   357.2    10.4    10.4     0.0    0.00
      36    2050       1       2      11   -14.6    86.7    0.81   352.4    44.3    44.3     0.0    0.00
      37    2050       1       2      12   -14.0    87.3    0.81   352.4    80.8    24.7   527.5    0.00
      38    2050       1       2      13   -13.2    87.9    0.87   341.0    93.8    27.5   622.7    0.00
      39    2050       1       2      14   -12.6    88.5    0.87   341.0    74.5    74.5     0.0    0.00
      40    2050       1       2      15   -13.0    88.1    0.87   341.0    35.8    35.8     0.0    0.00
      41    2050       1       2      16   -13.4    87.8    0.76     4.7     8.4     8.4     0.0    0.00
      42    2050       1       2      17   -13.8    87.4    0.76     4.7     0.0     0.0     0.0    0.00
      43    2050       1       2      18   -14.6    86.8    0.76     4.7     0.0     0.0     0.0    0.00
      44    2050       1       2      19   -15.2    86.3    0.91   139.6     0.0     0.0     0.0    0.00
      45    2050       1       2      20   -15.9    85.6    0.91   139.6     0.0     0.0     0.0    0.00
      46    2050       1       2      21   -16.2    85.4    0.63   148.8     0.0     0.0     0.0    0.00
      47    2050       1       2      22   -16.5    85.2    0.34   183.4     0.0     0.0     0.0    0.00
      48    2050       1       2      23   -16.8    85.0    0.34   236.1     0.0     0.0     0.0    0.00
      49    2050       1       3       0   -17.0    84.8    0.64   237.9     0.0     0.0     0.0    0.00
      50    2050       1       3       1   -17.3    84.5    1.05   238.7     0.0     0.0     0.0    0.00
      51    2050       1       3       2   -17.6    84.3    1.35   239.0     0.0     0.0     0.0    0.00
