Ilmatieteen_laitos Meteorologiska_institutet Finnish_Meteorological_Institute 2013  
Aika-askel Vuosi Kuukausi Päivä Aika Lämpötila(°C) Suhteellinen_kosteus(%) Tuulen_nopeus(m/s) Tuulen_suunta(astetta) Kokonaissäteily_vaakapinnalle(W/m2) Hajasäteily_vaakapinnalle(W/m2) Suora_säteily_kohtisuoralle_pinnalle(W/m2) Sademäärä(mm/h) 
Tidssteg År Månad Dag Tid Temperatur(°C) Relativ_fuktighet(%) Vindhastighet(m/s) Vindriktning(grader) Global_strålning_på_vågrät_yta(W/m2) Diffus_strålning_på_vågrät_yta(W/m2) Direkt_strålning_på_normalyta(W/m2) Nederbörd(mm/h) 
Timestep Year Month Day Time Temperature(°C) Relative_humidity(%) Wind_speed(m/s) Wind_direction(degrees) Global_horisontal_radiation(W/m2) Diffuse_horisontal_radiation(W/m2) Direct_normal_solar_radiation(W/m2) Precipitation(mm/h)
#    STEP    YEAR    MONTH     DAY     HOUR     T      RH             WS      WD      Rglob   Rdiff   Rnorm  Precip
       1    2100       1       1       0     1.4    95.1    2.05    33.8     0.0     0.0     0.0    0.00
       2    2100       1       1       1     1.4    93.8    2.53    79.7     0.0     0.0     0.0    0.00
       3    2100       1       1       2     1.3    92.7    2.83    78.7     0.0     0.0     0.0    0.00
       4    2100       1       1       3     1.2    91.2    3.51    77.0     0.0     0.0     0.0    0.00
       5    2100       1       1       4     1.1    89.8    4.04    36.9     0.0     0.0     0.0    0.00
       6    2100       1       1       5     1.0    88.3    4.73    37.3     0.0     0.0     0.0    0.00
       7    2100       1       1       6     0.0    92.3    4.04    36.9     0.0     0.0     0.0    0.00
       8    2100       1       1       7    -1.0    95.4    3.52    23.0     0.0     0.0     0.0    0.00
       9    2100       1       1       8    -2.1    98.0    2.83    21.2     0.0     0.0     0.0    0.00
      10    2100       1       1       9    -2.5    97.6    2.83    21.2     0.0     0.0     0.0    0.00
      11    2100       1       1      10    -2.9    97.2    2.75    35.4     7.5     7.5     0.0    0.00
      12    2100       1       1      11    -3.3    96.8    2.75    35.4    35.6    35.6     0.0    0.00
      13    2100       1       1      12    -3.1    97.0    2.45    34.8    71.0    26.2   427.6    0.00
      14    2100       1       1      13    -3.0    97.2    2.28     4.0    85.6    29.7   533.7    0.00
      15    2100       1       1      14    -2.8    97.4    2.00     1.6    67.8    67.8     0.0    0.00
      16    2100       1       1      15    -3.4    96.8    2.00     1.6    32.9    32.9     0.0    0.00
      17    2100       1       1      16    -4.0    96.2    2.00     1.6     7.9     7.9     0.0    0.00
      18    2100       1       1      17    -4.6    95.6    2.00     1.6     0.0     0.0     0.0    0.00
      19    2100       1       1      18    -5.0    95.3    2.00     1.6     0.0     0.0     0.0    0.00
      20    2100       1       1      19    -5.4    94.9    1.85    16.5     0.0     0.0     0.0    0.00
      21    2100       1       1      20    -5.7    94.6    1.85    16.5     0.0     0.0     0.0    0.00
      22    2100       1       1      21    -5.8    94.5    1.85    16.5     0.0     0.0     0.0    0.00
      23    2100       1       1      22    -5.8    94.5    1.85    16.5     0.0     0.0     0.0    0.00
      24    2100       1       1      23    -5.8    94.5    1.85    16.5     0.0     0.0     0.0    0.00
      25    2100       1       2       0    -6.1    94.2    1.85    16.5     0.0     0.0     0.0    0.00
      26    2100       1       2       1    -6.4    94.0    2.00     1.6     0.0     0.0     0.0    0.00
      27    2100       1       2       2    -6.7    93.7    2.00     1.6     0.0     0.0     0.0    0.00
      28    2100       1       2       3    -6.8    93.6    2.00     1.6     0.0     0.0     0.0    0.00
      29    2100       1       2       4    -7.0    93.4    1.76    32.8     0.0     0.0     0.0    0.00
      30    2100       1       2       5    -7.1    93.3    1.76    32.8     0.0     0.0     0.0    0.00
      31    2100       1       2       6    -7.4    93.0    1.46    31.3     0.0     0.0     0.0    0.00
      32    2100       1       2       7    -7.7    92.8    1.36   352.3     0.0     0.0     0.0    0.00
      33    2100       1       2       8    -8.0    92.6    1.10   345.1     0.0     0.0     0.0    0.00
      34    2100       1       2       9    -8.2    92.3    0.87   333.8     0.0     0.0     0.0    0.00
      35    2100       1       2      10    -8.5    92.1    0.87   302.4     9.2     9.2     0.0    0.00
      36    2100       1       2      11    -8.7    91.9    0.81   282.5    39.4    39.4     0.0    0.00
      37    2100       1       2      12    -8.2    92.4    0.81   282.5    71.9    24.7   443.1    0.00
      38    2100       1       2      13    -7.6    92.9    0.98   281.2    83.4    27.5   524.8    0.00
      39    2100       1       2      14    -7.0    93.4    0.98   281.2    66.3    66.3     0.0    0.00
      40    2100       1       2      15    -7.4    93.1    0.98   281.2    31.8    31.8     0.0    0.00
      41    2100       1       2      16    -7.7    92.8    0.64   281.8     7.5     7.5     0.0    0.00
      42    2100       1       2      17    -8.0    92.5    0.64   281.8     0.0     0.0     0.0    0.00
      43    2100       1       2      18    -8.7    91.9    0.64   281.8     0.0     0.0     0.0    0.00
      44    2100       1       2      19    -9.2    91.4    1.30   184.5     0.0     0.0     0.0    0.00
      45    2100       1       2      20    -9.8    90.9    1.30   184.5     0.0     0.0     0.0    0.00
      46    2100       1       2      21   -10.0    90.7    1.21   197.4     0.0     0.0     0.0    0.00
      47    2100       1       2      22   -10.3    90.5    1.18   216.5     0.0     0.0     0.0    0.00
      48    2100       1       2      23   -10.5    90.3    1.25   230.1     0.0     0.0     0.0    0.00
      49    2100       1       3       0   -10.7    90.1    1.55   232.0     0.0     0.0     0.0    0.00
      50    2100       1       3       1   -11.0    89.9    1.94   233.7     0.0     0.0     0.0    0.00
      51    2100       1       3       2   -11.2    89.7    2.24   234.5     0.0     0.0     0.0    0.00
      52    2100       1       3       3   -11.4    89.5    2.24   234.5     0.0     0.0     0.0    0.00
      53    2100       1       3       4   -11.6    89.3    2.21   221.3     0.0     0.0     0.0    0.00
      54    2100       1       3       5   -11.8    89.2    2.21   221.3     0.0     0.0     0.0    0.00
      55    2100       1       3       6   -11.7    89.2    2.51   219.9     0.0     0.0     0.0    0.00
      56    2100       1       3       7   -11.7    89.3    2.90   218.6     0.0     0.0     0.0    0.00
      57    2100       1       3       8   -11.6    89.3    3.19   217.8     0.0     0.0     0.0    0.00
      58    2100       1       3       9   -11.0    89.9    3.19   217.8     0.0     0.0     0.0    0.00
      59    2100       1       3      10   -10.4    90.4    3.24   230.1    13.3    13.3     0.0    0.00
