Ilmatieteen_laitos Meteorologiska_institutet Finnish_Meteorological_Institute 2013  
Aika-askel Vuosi Kuukausi Päivä Aika Lämpötila(°C) Suhteellinen_kosteus(%) Tuulen_nopeus(m/s) Tuulen_suunta(astetta) Kokonaissäteily_vaakapinnalle(W/m2) Hajasäteily_vaakapinnalle(W/m2) Suora_säteily_kohtisuoralle_pinnalle(W/m2) Sademäärä(mm/h) 
Tidssteg År Månad Dag Tid Temperatur(°C) Relativ_fuktighet(%) Vindhastighet(m/s) Vindriktning(grader) Global_strålning_på_vågrät_yta(W/m2) Diffus_strålning_på_vågrät_yta(W/m2) Direkt_strålning_på_normalyta(W/m2) Nederbörd(mm/h) 
Timestep Year Month Day Time Temperature(°C) Relative_humidity(%) Wind_speed(m/s) Wind_direction(degrees) Global_horisontal_radiation(W/m2) Diffuse_horisontal_radiation(W/m2) Direct_normal_solar_radiation(W/m2) Precipitation(mm/h)
#    STEP    YEAR    MONTH     DAY     HOUR     T      RH             WS      WD      Rglob   Rdiff   Rnorm  Precip
       1    2100       1       1       0     7.9    99.2    4.27   287.4     0.0     0.0     0.0    0.12
       2    2100       1       1       1     7.5    99.2    5.29   262.4     0.0     0.0     0.0    0.12
       3    2100       1       1       2     7.1    99.2    6.03   263.3     0.0     0.0     0.0    0.12
       4    2100       1       1       3     7.1    99.2    5.71   262.9     0.0     0.0     0.0    0.12
       5    2100       1       1       4     6.9    99.2    5.17   271.1     0.0     0.0     0.0    0.12
       6    2100       1       1       5     6.8    99.2    4.86   270.5     0.0     0.0     0.0    0.00
       7    2100       1       1       6     6.7    99.2    5.17   271.1     0.0     0.0     0.0    0.00
       8    2100       1       1       7     6.5    99.2    5.94   237.2     0.0     0.0     0.0    0.00
       9    2100       1       1       8     6.4    99.2    6.26   237.4     0.0     0.0     0.0    0.00
      10    2100       1       1       9     6.7    99.4    5.52   237.0     0.0     0.0     0.0    0.00
      11    2100       1       1      10     7.1    99.8    4.71   187.8     1.3     1.3     0.0    0.00
      12    2100       1       1      11     7.3   100.0    3.96   189.3     9.0     9.0     0.0    0.00
      13    2100       1       1      12     7.8    98.2    5.02   187.3    10.7    10.7     0.0    0.00
      14    2100       1       1      13     8.3    96.2    5.85   168.3    12.4    12.4     0.0    0.00
      15    2100       1       1      14     8.8    94.4    6.91   167.0     7.1     7.1     0.0    0.00
      16    2100       1       1      15     8.7    95.2    7.98   166.1     1.1     1.1     0.0    0.00
      17    2100       1       1      16     8.7    96.0    9.04   165.3     0.0     0.0     0.0    0.00
      18    2100       1       1      17     8.6    96.8   10.11   164.8     0.0     0.0     0.0    0.00
      19    2100       1       1      18     8.7    97.4    8.30   165.8     0.0     0.0     0.0    3.56
      20    2100       1       1      19     8.7    97.8    6.60   167.3     0.0     0.0     0.0    3.12
      21    2100       1       1      20     8.8    98.4    4.80   170.1     0.0     0.0     0.0    0.52
      22    2100       1       1      21     8.9    98.4    5.54   168.7     0.0     0.0     0.0    0.14
      23    2100       1       1      22     9.0    98.4    6.17   167.8     0.0     0.0     0.0    0.00
      24    2100       1       1      23     9.1    98.4    6.91   167.0     0.0     0.0     0.0    0.00
      25    2100       1       2       0     9.1    98.2    6.60   167.3     0.0     0.0     0.0    0.03
      26    2100       1       2       1     9.1    97.8    6.17   167.8     0.0     0.0     0.0    0.07
      27    2100       1       2       2     9.1    97.6    5.85   168.3     0.0     0.0     0.0    0.14
      28    2100       1       2       3     8.8    97.4    4.48   170.8     0.0     0.0     0.0    0.00
      29    2100       1       2       4     8.5    97.0    2.28   132.7     0.0     0.0     0.0    0.00
      30    2100       1       2       5     8.2    96.8    1.13   161.1     0.0     0.0     0.0    0.21
      31    2100       1       2       6     8.1    97.4    1.13   161.1     0.0     0.0     0.0    0.83
      32    2100       1       2       7     7.8    97.8    1.05   286.8     0.0     0.0     0.0    1.00
      33    2100       1       2       8     7.7    98.4    1.05   286.8     0.0     0.0     0.0    0.10
      34    2100       1       2       9     7.8    98.4    2.19   317.4     0.0     0.0     0.0    0.00
      35    2100       1       2      10     7.9    98.4    4.65   261.3     0.2     0.2     0.0    0.00
      36    2100       1       2      11     8.1    98.4    6.03   263.3     7.5     7.5     0.0    0.00
      37    2100       1       2      12     8.0    98.4    6.03   263.3    11.1    11.1     0.0    0.08
      38    2100       1       2      13     7.9    98.4    5.91   272.2    15.7    15.7     0.0    0.50
      39    2100       1       2      14     7.8    98.4    5.91   272.2    18.2    18.2     0.0    0.30
      40    2100       1       2      15     7.9    97.8    6.23   272.6     8.0     8.0     0.0    0.00
      41    2100       1       2      16     7.9    97.4    6.52   282.3     0.8     0.8     0.0    0.00
      42    2100       1       2      17     8.0    96.8    6.84   282.6     0.0     0.0     0.0    0.00
      43    2100       1       2      18     7.8    95.7    6.84   282.6     0.0     0.0     0.0    0.15
      44    2100       1       2      19     7.6    94.6    6.98   273.4     0.0     0.0     0.0    0.08
      45    2100       1       2      20     7.3    93.5    6.98   273.4     0.0     0.0     0.0    0.00
      46    2100       1       2      21     7.2    94.1    5.60   271.8     0.0     0.0     0.0    0.18
      47    2100       1       2      22     7.1    94.6    4.32   252.3     0.0     0.0     0.0    0.00
      48    2100       1       2      23     6.9    95.2    2.95   248.7     0.0     0.0     0.0    0.00
      49    2100       1       3       0     6.8    95.2    3.69   250.9     0.0     0.0     0.0    0.00
      50    2100       1       3       1     6.8    95.2    4.40   244.2     0.0     0.0     0.0    0.00
      51    2100       1       3       2     6.7    95.2    5.14   245.1     0.0     0.0     0.0    0.00
      52    2100       1       3       3     6.8    95.2    5.14   245.1     0.0     0.0     0.0    0.00
      53    2100       1       3       4     6.9    95.2    5.07   253.4     0.0     0.0     0.0    0.00
      54    2100       1       3       5     7.1    95.2    5.07   253.4     0.0     0.0     0.0    0.00
      55    2100       1       3       6     7.3    94.6    5.39   253.8     0.0     0.0     0.0    0.00
      56    2100       1       3       7     7.4    94.1    5.71   262.9     0.0     0.0     0.0    0.00
      57    2100       1       3       8     7.6    93.5    6.03   263.3     0.0     0.0     0.0    0.00
      58    2100       1       3       9     7.6    93.3    6.35   263.7     0.0     0.0     0.0    0.00
      59    2100       1       3      10     7.6    93.0    6.66   273.1     1.7     1.7     0.0    0.00
      60    2100       1       3      11     7.6    92.7    6.98   273.4     7.3     7.3     0.0    0.00
