	t	year	month	day hour	Te	RHe_water	ws	wd	Rglob	Rdif	Rbeam	precip
       1    2007       1       1       0     2.4    99.0     3.7   300.0     0.0     0.0     0.0    0.12
       2    2007       1       1       1     1.8    99.0     4.3   270.0     0.0     0.0     0.0    0.12
       3    2007       1       1       2     1.3    99.0     5.0   270.0     0.0     0.0     0.0    0.12
       4    2007       1       1       3     1.2    99.0     4.7   270.0     0.0     0.0     0.0    0.12
       5    2007       1       1       4     1.0    99.0     4.3   280.0     0.0     0.0     0.0    0.12
       6    2007       1       1       5     0.9    99.0     4.0   280.0     0.0     0.0     0.0    0.00
       7    2007       1       1       6     0.7    99.0     4.3   280.0     0.0     0.0     0.0    0.00
       8    2007       1       1       7     0.5    99.0     4.7   240.0     0.0     0.0     0.0    0.00
       9    2007       1       1       8     0.3    99.0     5.0   240.0     0.0     0.0     0.0    0.00
      10    2007       1       1       9     0.7    99.3     4.3   240.0     0.0     0.0     0.0    0.00
      11    2007       1       1      10     1.2    99.7     3.7   180.0     1.7     1.7     0.0    0.00
      12    2007       1       1      11     1.6   100.0     3.0   180.0    11.7    11.6     1.7    0.00
      13    2007       1       1      12     2.3    97.7     4.0   180.0    13.9    13.8     0.6    0.00
      14    2007       1       1      13     2.9    95.3     5.0   160.0    16.1    16.1     0.0    0.00
      15    2007       1       1      14     3.6    93.0     6.0   160.0     9.2     9.2     0.0    0.00
      16    2007       1       1      15     3.5    94.0     7.0   160.0     1.4     1.4     0.0    0.00
      17    2007       1       1      16     3.5    95.0     8.0   160.0     0.0     0.0     0.0    0.00
      18    2007       1       1      17     3.4    96.0     9.0   160.0     0.0     0.0     0.0    0.00
      19    2007       1       1      18     3.5    96.7     7.3   160.0     0.0     0.0     0.0    2.73
      20    2007       1       1      19     3.5    97.3     5.7   160.0     0.0     0.0     0.0    2.45
      21    2007       1       1      20     3.6    98.0     4.0   160.0     0.0     0.0     0.0    0.49
      22    2007       1       1      21     3.8    98.0     4.7   160.0     0.0     0.0     0.0    0.14
      23    2007       1       1      22     3.9    98.0     5.3   160.0     0.0     0.0     0.0    0.00
      24    2007       1       1      23     4.1    98.0     6.0   160.0     0.0     0.0     0.0    0.00
      25    2007       1       1       0     4.1    97.7     5.7   160.0     0.0     0.0     0.0    0.03
      26    2007       1       1       1     4.0    97.3     5.3   160.0     0.0     0.0     0.0    0.07
      27    2007       1       2       2     4.0    97.0     5.0   160.0     0.0     0.0     0.0    0.13
      28    2007       1       2       3     3.6    96.7     3.7   160.0     0.0     0.0     0.0    0.00
      29    2007       1       2       4     3.2    96.3     2.3   110.0     0.0     0.0     0.0    0.00
      30    2007       1       2       5     2.8    96.0     1.0   110.0     0.0     0.0     0.0    0.20
      31    2007       1       2       6     2.6    96.7     1.0   110.0     0.0     0.0     0.0    0.72
      32    2007       1       2       7     2.3    97.3     1.0   340.0     0.0     0.0     0.0    0.85
      33    2007       1       2       8     2.1    98.0     1.0   340.0     0.0     0.0     0.0    0.10
      34    2007       1       2       9     2.3    98.0     2.3   340.0     0.0     0.0     0.0    0.00
      35    2007       1       2      10     2.4    98.0     3.7   270.0     0.3     0.3     0.0    0.00
      36    2007       1       2      11     2.6    98.0     5.0   270.0     9.7     9.6     1.4    0.00
      37    2007       1       2      12     2.5    98.0     5.0   270.0    14.4    13.9     4.4    0.08
      38    2007       1       2      13     2.4    98.0     5.0   280.0    20.3    20.0     2.7    0.45
      39    2007       1       2      14     2.3    98.0     5.0   280.0    23.6    23.6     0.0    0.28
      40    2007       1       2      15     2.4    97.3     5.3   280.0    10.3    10.3     0.0    0.00
      41    2007       1       2      16     2.4    96.7     5.7   290.0     1.1     1.1     0.0    0.00
      42    2007       1       2      17     2.5    96.0     6.0   290.0     0.0     0.0     0.0    0.00
      43    2007       1       2      18     2.2    94.7     6.0   290.0     0.0     0.0     0.0    0.14
      44    2007       1       2      19     1.9    93.3     6.0   280.0     0.0     0.0     0.0    0.08
      45    2007       1       2      20     1.6    92.0     6.0   280.0     0.0     0.0     0.0    0.00
      46    2007       1       2      21     1.4    92.7     4.7   280.0     0.0     0.0     0.0    0.17
      47    2007       1       2      22     1.2    93.3     3.3   260.0     0.0     0.0     0.0    0.00
      48    2007       1       2      23     1.0    94.0     2.0   260.0     0.0     0.0     0.0    0.00
      49    2007       1       2       0     0.9    94.0     2.7   260.0     0.0     0.0     0.0    0.00
      50    2007       1       2       1     0.8    94.0     3.3   250.0     0.0     0.0     0.0    0.00
      51    2007       1       3       2     0.7    94.0     4.0   250.0     0.0     0.0     0.0    0.00
      52    2007       1       3       3     0.9    94.0     4.0   250.0     0.0     0.0     0.0    0.00
      53    2007       1       3       4     1.0    94.0     4.0   260.0     0.0     0.0     0.0    0.00
      54    2007       1       3       5     1.2    94.0     4.0   260.0     0.0     0.0     0.0    0.00
      55    2007       1       3       6     1.5    93.3     4.3   260.0     0.0     0.0     0.0    0.00
      56    2007       1       3       7     1.7    92.7     4.7   270.0     0.0     0.0     0.0    0.00
      57    2007       1       3       8     2.0    92.0     5.0   270.0     0.0     0.0     0.0    0.00
      58    2007       1       3       9     2.0    91.7     5.3   270.0     0.0     0.0     0.0    0.00
      59    2007       1       3      10     2.0    91.3     5.7   280.0     2.2     2.2     0.0    0.00
      60    2007       1       3      11     2.0    91.0     6.0   280.0     9.4     9.0     4.6    0.00
      61    2007       1       3      12     2.0    89.3     6.3   280.0    46.1    41.9    34.2    0.00
      62    2007       1       3      13     2.0    87.7     6.7   280.0    65.8    59.7    51.9    0.00
      63    2007       1       3      14     2.0    86.0     7.0   280.0    33.1    33.1     0.0    0.00
      64    2007       1       3      15     1.5    85.7     7.0   280.0    28.6    28.6     0.0    0.00
      65    2007       1       3      16     1.1    85.3     7.0   270.0     3.1     3.1     0.0    0.00
      66    2007       1       3      17     0.6    85.0     7.0   270.0     0.0     0.0     0.0    0.00
      67    2007       1       3      18     0.5    83.3     7.0   270.0     0.0     0.0     0.0    0.00
      68    2007       1       3      19     0.5    81.7     7.0   260.0     0.0     0.0     0.0    0.00
      69    2007       1       3      20     0.4    80.0     7.0   260.0     0.0     0.0     0.0    0.00
      70    2007       1       3      21     0.5    78.7     5.7   260.0     0.0     0.0     0.0    0.00
      71    2007       1       3      22     0.5    77.3     4.3   250.0     0.0     0.0     0.0    0.00
      72    2007       1       3      23     0.6    76.0     3.0   250.0     0.0     0.0     0.0    0.00
      73    2007       1       3       0    -0.2    80.3     3.0   250.0     0.0     0.0     0.0    0.00
      74    2007       1       3       1    -1.1    84.7     3.0   240.0     0.0     0.0     0.0    0.00
      75    2007       1       4       2    -1.9    89.0     3.0   240.0     0.0     0.0     0.0    0.00
      76    2007       1       4       3    -2.0    90.0     2.7   240.0     0.0     0.0     0.0    0.00
      77    2007       1       4       4    -2.1    91.0     2.3   180.0     0.0     0.0     0.0    0.00
      78    2007       1       4       5    -2.2    92.0     2.0   180.0     0.0     0.0     0.0    0.00
      79    2007       1       4       6    -0.9    91.7     3.3   180.0     0.0     0.0     0.0    0.00
      80    2007       1       4       7     0.4    91.3     4.7   190.0     0.0     0.0     0.0    0.00
      81    2007       1       4       8     1.7    91.0     6.0   190.0     0.0     0.0     0.0    0.00
      82    2007       1       4       9     1.8    92.3     6.3   190.0     0.0     0.0     0.0    0.00
      83    2007       1       4      10     2.0    93.7     6.7   180.0     1.1     1.1     0.0    0.00
      84    2007       1       4      11     2.1    95.0     7.0   180.0     6.1     5.8     2.7    0.19
      85    2007       1       4      12     2.2    95.7     7.3   180.0    10.3    10.3     0.0    0.56
      86    2007       1       4      13     2.3    96.3     7.7   180.0     8.1     8.1     0.0    1.12
      87    2007       1       4      14     2.4    97.0     8.0   180.0     6.7     6.7     0.5    0.56
      88    2007       1       4      15     2.9    97.3     8.0   180.0     3.3     3.3     0.0    0.94
      89    2007       1       4      16     3.5    97.7     8.0   190.0     0.3     0.3     0.0    0.37
      90    2007       1       4      17     4.0    98.0     8.0   190.0     0.0     0.0     0.0    0.19
      91    2007       1       4      18     4.2    98.0     8.3   190.0     0.0     0.0     0.0    0.00
      92    2007       1       4      19     4.5    98.0     8.7   200.0     0.0     0.0     0.0    0.00
      93    2007       1       4      20     4.7    98.0     9.0   200.0     0.0     0.0     0.0    0.19
      94    2007       1       4      21     5.0    97.3     9.0   200.0     0.0     0.0     0.0    0.00
      95    2007       1       4      22     5.4    96.7     9.0   200.0     0.0     0.0     0.0    0.37
      96    2007       1       4      23     5.7    96.0     9.0   200.0     0.0     0.0     0.0    0.00
      97    2007       1       4       0     5.5    96.7     9.0   200.0     0.0     0.0     0.0    0.00
      98    2007       1       4       1     5.3    97.3     9.0   200.0     0.0     0.0     0.0    0.00
      99    2007       1       5       2     5.1    98.0     9.0   200.0     0.0     0.0     0.0    0.00
     100    2007       1       5       3     5.1    98.0     8.3   200.0     0.0     0.0     0.0    0.00
     101    2007       1       5       4     5.0    98.0     7.7   200.0     0.0     0.0     0.0    0.00
     102    2007       1       5       5     5.0    98.0     7.0   200.0     0.0     0.0     0.0    0.00
     103    2007       1       5       6     5.0    98.3     7.3   200.0     0.0     0.0     0.0    0.00
     104    2007       1       5       7     4.9    98.7     7.7   190.0     0.0     0.0     0.0    1.54
     105    2007       1       5       8     4.9    99.0     8.0   190.0     0.0     0.0     0.0    1.54
     106    2007       1       5       9     5.0    98.7     7.7   190.0     0.0     0.0     0.0    1.02
     107    2007       1       5      10     5.0    98.3     7.3   190.0     2.5     2.5     0.0    0.00
     108    2007       1       5      11     5.1    98.0     7.0   190.0    17.8    17.8     0.0    1.70
     109    2007       1       5      12     5.2    97.7     6.3   190.0    16.4    16.4     0.0    0.00
     110    2007       1       5      13     5.2    97.3     5.7   230.0    15.3    15.3     0.2    0.00
     111    2007       1       5      14     5.3    97.0     5.0   230.0    17.2    16.8     4.8    0.00
     112    2007       1       5      15     4.7    95.7     5.0   230.0    15.0    15.0     0.0    0.00
     113    2007       1       5      16     4.0    94.3     5.0   270.0     3.1     3.1     0.0    0.00
     114    2007       1       5      17     3.4    93.0     5.0   270.0     0.0     0.0     0.0    0.00
     115    2007       1       5      18     2.5    92.3     5.0   270.0     0.0     0.0     0.0    0.00
     116    2007       1       5      19     1.6    91.7     5.0   290.0     0.0     0.0     0.0    0.00
     117    2007       1       5      20     0.7    91.0     5.0   290.0     0.0     0.0     0.0    0.00
     118    2007       1       5      21     0.2    91.7     4.7   290.0     0.0     0.0     0.0    0.00
     119    2007       1       5      22    -0.3    92.3     4.3   260.0     0.0     0.0     0.0    0.00
     120    2007       1       5      23    -0.8    93.0     4.0   260.0     0.0     0.0     0.0    0.00
     121    2007       1       5       0    -0.9    92.3     3.7   260.0     0.0     0.0     0.0    0.00
     122    2007       1       5       1    -1.1    91.7     3.3   250.0     0.0     0.0     0.0    0.00
     123    2007       1       6       2    -1.2    91.0     3.0   250.0     0.0     0.0     0.0    0.00
     124    2007       1       6       3    -1.5    92.3     3.0   250.0     0.0     0.0     0.0    0.00
     125    2007       1       6       4    -1.9    93.7     3.0   250.0     0.0     0.0     0.0    0.00
     126    2007       1       6       5    -2.2    95.0     3.0   250.0     0.0     0.0     0.0    0.00
     127    2007       1       6       6    -1.9    95.3     2.7   250.0     0.0     0.0     0.0    0.00
     128    2007       1       6       7    -1.6    95.7     2.3   220.0     0.0     0.0     0.0    0.00
     129    2007       1       6       8    -1.3    96.0     2.0   220.0     0.0     0.0     0.0    0.00
     130    2007       1       6       9    -1.2    96.0     2.0   220.0     0.0     0.0     0.0    0.00
     131    2007       1       6      10    -1.1    96.0     2.0   210.0     3.3     3.3     0.0    0.00
     132    2007       1       6      11    -1.0    96.0     2.0   210.0    44.7    33.0   120.1    0.00
     133    2007       1       6      12    -0.5    95.3     1.3   210.0    91.7    74.5   135.3    0.00
     134    2007       1       6      13    -0.1    94.7     0.7   210.0    53.6    53.6     0.0    0.00
     135    2007       1       6      14     0.4    94.0     0.0     0.0    35.6    35.6     0.0    0.00
     136    2007       1       6      15     0.1    94.7     0.0     0.0    15.8    15.8     0.0    0.00
     137    2007       1       6      16    -0.1    95.3     0.0     0.0     3.9     3.9     0.0    0.00
     138    2007       1       6      17    -0.4    96.0     0.0     0.0     0.0     0.0     0.0    0.00
     139    2007       1       6      18    -0.6    96.7     0.0     0.0     0.0     0.0     0.0    0.00
     140    2007       1       6      19    -0.9    97.3     0.0     0.0     0.0     0.0     0.0    0.00
     141    2007       1       6      20    -1.1    98.0     0.0     0.0     0.0     0.0     0.0    0.00
     142    2007       1       6      21    -1.8    98.0     0.0     0.0     0.0     0.0     0.0    0.00
     143    2007       1       6      22    -2.6    98.0     0.0     0.0     0.0     0.0     0.0    0.00
     144    2007       1       6      23    -3.3    98.0     0.0     0.0     0.0     0.0     0.0    0.00
     145    2007       1       6       0    -3.5    98.0     0.3   320.0     0.0     0.0     0.0    0.00
     146    2007       1       6       1    -3.6    98.0     0.7   320.0     0.0     0.0     0.0    0.00
     147    2007       1       7       2    -3.8    98.0     1.0   320.0     0.0     0.0     0.0    0.00
     148    2007       1       7       3    -3.3    98.0     1.0   320.0     0.0     0.0     0.0    0.00
     149    2007       1       7       4    -2.8    98.0     1.0    30.0     0.0     0.0     0.0    0.00
     150    2007       1       7       5    -2.3    98.0     1.0    30.0     0.0     0.0     0.0    0.00
     151    2007       1       7       6    -2.1    98.0     1.0    30.0     0.0     0.0     0.0    0.00
     152    2007       1       7       7    -2.0    98.0     1.0   110.0     0.0     0.0     0.0    0.00
     153    2007       1       7       8    -1.8    98.0     1.0   110.0     0.0     0.0     0.0    0.00
     154    2007       1       7       9    -1.3    98.3     0.7   110.0     0.0     0.0     0.0    0.00
     155    2007       1       7      10    -0.7    98.7     0.3   110.0     0.6     0.6     0.0    0.00
     156    2007       1       7      11    -0.2    99.0     0.0     0.0     8.3     8.3     0.0    0.18
     157    2007       1       7      12     0.0    99.0     0.3   190.0    13.3    13.3     0.0    0.18
     158    2007       1       7      13     0.3    99.0     0.7   190.0    20.0    20.0     0.0    0.00
