		t	year	month	day	hour	Te	RHe_water	ws	wd	Rglob	Rdif	Rbeam	precip
       1    2050       1       1       0     4.5    99.1    3.89   296.6     0.0     0.0     0.0    0.12
       2    2050       1       1       1     4.0    99.1    4.59   268.3     0.0     0.0     0.0    0.12
       3    2050       1       1       2     3.5    99.1    5.30   268.5     0.0     0.0     0.0    0.12
       4    2050       1       1       3     3.5    99.1    4.99   268.4     0.0     0.0     0.0    0.12
       5    2050       1       1       4     3.3    99.1    4.56   277.8     0.0     0.0     0.0    0.12
       6    2050       1       1       5     3.2    99.1    4.26   277.7     0.0     0.0     0.0    0.00
       7    2050       1       1       6     3.0    99.1    4.56   277.8     0.0     0.0     0.0    0.00
       8    2050       1       1       7     2.9    99.1    5.03   239.9     0.0     0.0     0.0    0.00
       9    2050       1       1       8     2.7    99.1    5.33   239.9     0.0     0.0     0.0    0.00
      10    2050       1       1       9     3.0    99.4    4.62   239.9     0.0     0.0     0.0    0.00
      11    2050       1       1      10     3.5    99.7    3.90   183.3     1.5     1.5     0.0    0.00
      12    2050       1       1      11     3.8   100.0    3.19   184.0    10.6    10.6     0.0    0.00
      13    2050       1       1      12     4.4    97.9    4.20   183.0    12.6    12.6     0.0    0.00
      14    2050       1       1      13     4.9    95.7    5.13   162.9    14.6    14.6     0.0    0.00
      15    2050       1       1      14     5.5    93.5    6.14   162.4     8.3     8.3     0.0    0.00
      16    2050       1       1      15     5.4    94.4    7.16   162.1     1.3     1.3     0.0    0.00
      17    2050       1       1      16     5.4    95.4    8.17   161.8     0.0     0.0     0.0    0.00
      18    2050       1       1      17     5.4    96.3    9.19   161.6     0.0     0.0     0.0    0.00
      19    2050       1       1      18     5.4    97.0    7.46   162.0     0.0     0.0     0.0    3.01
      20    2050       1       1      19     5.4    97.5    5.84   162.5     0.0     0.0     0.0    2.68
      21    2050       1       1      20     5.5    98.2    4.12   163.6     0.0     0.0     0.0    0.50
      22    2050       1       1      21     5.7    98.2    4.83   163.0     0.0     0.0     0.0    0.14
      23    2050       1       1      22     5.8    98.2    5.44   162.7     0.0     0.0     0.0    0.00
      24    2050       1       1      23     6.0    98.2    6.14   162.4     0.0     0.0     0.0    0.00
      25    2050       1       2       0     6.0    97.9    5.84   162.5     0.0     0.0     0.0    0.03
      26    2050       1       2       1     5.9    97.5    5.44   162.7     0.0     0.0     0.0    0.07
      27    2050       1       2       2     5.9    97.2    5.13   162.9     0.0     0.0     0.0    0.13
      28    2050       1       2       3     5.5    97.0    3.81   163.9     0.0     0.0     0.0    0.00
      29    2050       1       2       4     5.2    96.6    2.18   115.4     0.0     0.0     0.0    0.00
      30    2050       1       2       5     4.8    96.3    0.88   123.5     0.0     0.0     0.0    0.20
      31    2050       1       2       6     4.7    97.0    0.88   123.5     0.0     0.0     0.0    0.75
      32    2050       1       2       7     4.4    97.5    1.00   325.1     0.0     0.0     0.0    0.89
